Evento;Tipo;Ciclo;Fila;Columna
Registro de muerte: Planta; Año:  1; [AutomataCelular.UbicacionSeresVivos.Celda@69d0a921]
Registro de nacimiento: Gato; Año:  1; [AutomataCelular.UbicacionSeresVivos.Celda@14514713]
Registro de nacimiento: Gato; Año:  1; [AutomataCelular.UbicacionSeresVivos.Celda@14514713]
Registro de nacimiento: Gato; Año:  1; [AutomataCelular.UbicacionSeresVivos.Celda@14514713]
Registro de nacimiento: Gato; Año:  1; [AutomataCelular.UbicacionSeresVivos.Celda@5a2e4553]
Registro de nacimiento: Gato; Año:  1; [AutomataCelular.UbicacionSeresVivos.Celda@14514713]
Registro de nacimiento: Gato; Año:  1; [AutomataCelular.UbicacionSeresVivos.Celda@69d0a921]
Registro de nacimiento: Gato; Año:  1; [AutomataCelular.UbicacionSeresVivos.Celda@5a2e4553]
